date,open,high,low,close,sma20,sma50,sma100,sma200,ema8,ema12,ema21,ema55,ema200,RSI,newvalue
2017-09-28,4192.11000000,4300.00000000,4101.00000000,4174.50000000,3883.5774999999994,,,,3956.891461601102,3933.236755245574,3959.6330050442793,,,54.11771350211415,bear
2017-09-29,4178.98000000,4263.86000000,3952.01000000,4174.69000000,3879.3714999999997,,,,4005.291136800857,3970.3834082847166,3979.183640949345,,,54.12179049630811,bear
2017-09-30,4175.00000000,4380.00000000,4138.10000000,4378.51000000,3891.7785000000003,,,,4088.2286619562224,4033.1721147024523,4015.486037226677,,,58.39289697478123,bull
2017-10-01,4378.49000000,4406.52000000,4240.04000000,4378.48000000,3900.279,,,,4152.728959299284,4086.2964047482287,4048.4854883878884,,,58.39203529343337,bear
2017-10-02,4400.00000000,4561.63000000,4360.00000000,4380.00000000,3911.093,,,,4203.233635010554,4131.481573248501,4078.623171261717,,,58.42551029562981,bear
2017-10-03,4380.00000000,4467.33000000,4180.80000000,4310.00000000,3929.3585,,,,4226.959493897098,4158.945946594886,4099.657428419742,,,56.18372603879983,bear
2017-10-04,4314.90000000,4373.00000000,4142.00000000,4208.59000000,3980.3369999999995,,,,4222.877384142187,4166.583493272596,4109.560389472493,,,53.0103647520206,bear
2017-10-05,4208.59000000,4355.00000000,4110.00000000,4292.43000000,4009.9584999999997,4159.1842,,,4238.333520999479,4185.944494307581,4126.184899520448,,,55.260236863335365,bull
2017-10-06,4318.99000000,4417.00000000,4292.00000000,4369.00000000,4042.661,4160.8626,,,4267.370516332929,4214.106879798723,4148.258999564044,,,57.272369602911866,bull
2017-10-07,4369.00000000,4479.50000000,4312.56000000,4423.00000000,4078.8115000000007,4167.155199999999,,,4301.954846036722,4246.244282906611,4173.23545414913,,,58.68362291953968,bull
2017-10-08,4425.00000000,4658.00000000,4425.00000000,4640.00000000,4109.061,4177.1556,,,4377.075991361895,4306.822085536363,4215.668594681028,,,63.85071849268288,bull
2017-10-09,4640.00000000,4889.98000000,4550.00000000,4786.95000000,4152.9065,4191.1688,,,4468.159104392585,4380.687918530769,4267.603267891844,,,66.87214553327276,bull
2017-10-10,4786.95000000,4960.00000000,4680.59000000,4783.06000000,4197.0595,4206.51,,,4538.137081194232,4442.5913156798815,4314.462970810767,4199.29490909091,,66.71318518250699,bear
